,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
0,7,5,7,5,86.2,26.2,94.3,5.1,8.2,51.0,6.7,0.0
1,7,4,7,2,90.6,35.4,669.1,6.7,18.0,33.0,0.9,0.0
2,7,4,7,6,90.6,43.7,686.9,6.7,14.6,33.0,1.3,0.0
3,8,6,8,5,91.7,33.3,77.5,9.0,8.3,97.0,4.0,0.2
4,8,6,8,7,89.3,51.3,102.2,9.6,11.4,99.0,1.8,0.0
5,8,6,8,7,92.3,85.3,488.0,14.7,22.2,29.0,5.4,0.0
6,8,6,8,1,92.3,88.9,495.6,8.5,24.1,27.0,3.1,0.0
7,8,6,8,1,91.5,145.4,608.2,10.7,8.0,86.0,2.2,0.0
9,7,5,7,6,92.5,88.0,698.6,7.1,22.8,40.0,4.0,0.0
11,7,5,7,6,92.8,73.2,713.0,22.6,19.3,38.0,4.0,0.0
12,6,5,6,5,63.5,70.8,665.3,0.8,17.0,72.0,6.7,0.0
13,6,5,6,1,90.9,126.5,686.5,7.0,21.3,42.0,2.2,0.0
14,6,5,6,3,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0
15,6,5,6,5,93.3,141.2,713.9,13.9,22.9,44.0,5.4,0.0
16,5,5,5,6,91.7,35.8,80.8,7.8,15.1,27.0,5.4,0.0
17,8,5,8,1,84.9,32.8,664.2,3.0,16.7,47.0,4.9,0.0
18,6,4,6,3,89.2,27.9,70.8,6.3,15.9,35.0,4.0,0.0
19,6,4,6,6,86.3,27.4,97.1,5.1,9.3,44.0,4.5,0.0
21,5,4,5,1,91.8,78.5,724.3,9.2,19.1,38.0,2.7,0.0
22,7,4,7,7,94.3,96.3,200.0,56.1,21.0,44.0,4.5,0.0
23,7,4,7,6,90.2,110.9,537.4,6.2,19.5,43.0,5.8,0.0
24,7,4,7,6,93.5,139.4,594.2,20.3,23.7,32.0,5.8,0.0
25,7,4,7,7,91.4,142.4,601.4,10.6,16.3,60.0,5.4,0.0
27,7,4,7,1,90.9,126.5,686.5,7.0,19.4,48.0,1.3,0.0
29,6,3,6,7,93.5,149.3,728.6,8.1,22.8,39.0,3.6,0.0
30,6,3,6,5,94.3,85.1,692.3,15.9,25.4,24.0,3.6,0.0
31,6,3,6,1,88.6,91.8,709.9,7.1,11.2,78.0,7.6,0.0
32,6,3,6,5,88.6,69.7,706.8,5.8,20.6,37.0,1.8,0.0
33,6,3,6,7,91.7,75.6,718.3,7.8,17.7,39.0,3.6,0.0
34,6,3,6,1,91.8,78.5,724.3,9.2,21.2,32.0,2.7,0.0
36,6,3,6,2,90.6,35.4,669.1,6.7,21.7,24.0,4.5,0.0
37,7,4,7,5,90.0,41.5,682.6,8.7,11.3,60.0,5.4,0.0
39,4,4,4,2,88.1,25.7,67.6,3.8,14.1,43.0,2.7,0.0
41,4,4,4,6,90.2,96.9,624.2,8.9,18.4,42.0,6.7,0.0
42,4,4,4,2,94.8,108.3,647.1,17.0,16.6,54.0,5.4,0.0
43,4,4,4,6,92.5,88.0,698.6,7.1,19.6,48.0,2.7,0.0
44,4,4,4,3,90.1,82.9,735.7,6.2,12.9,74.0,4.9,0.0
45,5,6,5,3,94.3,85.1,692.3,15.9,25.9,24.0,4.0,0.0
46,5,6,5,1,90.9,126.5,686.5,7.0,14.7,70.0,3.6,0.0
47,6,6,6,1,94.2,62.3,442.9,11.0,23.0,36.0,3.1,0.0
48,4,4,4,1,87.2,23.9,64.7,4.1,11.8,35.0,1.8,0.0
50,4,4,4,4,92.9,137.0,706.4,9.2,20.8,17.0,1.3,0.0
51,4,3,4,7,90.2,99.6,631.2,6.3,21.5,34.0,2.2,0.0
52,4,3,4,3,92.1,111.2,654.1,9.6,20.4,42.0,4.9,0.0
53,4,3,4,3,92.1,111.2,654.1,9.6,20.4,42.0,4.9,0.0
54,4,3,4,4,91.7,114.3,661.3,6.3,17.6,45.0,3.6,0.0
56,4,3,4,2,90.3,80.7,730.2,6.3,17.8,63.0,4.9,0.0
58,2,2,2,1,84.0,9.3,34.0,2.1,13.9,40.0,5.4,0.0
59,2,2,2,5,86.6,13.2,43.0,5.3,12.3,51.0,0.9,0.0
60,2,2,2,7,89.3,51.3,102.2,9.6,11.5,39.0,5.8,0.0
61,2,2,2,7,89.3,51.3,102.2,9.6,5.5,59.0,6.3,0.0
62,2,2,2,4,93.0,75.3,466.6,7.7,18.8,35.0,4.9,0.0
63,2,2,2,7,90.2,99.6,631.2,6.3,20.8,33.0,2.7,0.0
64,2,2,2,1,91.1,103.2,638.8,5.8,23.1,31.0,3.1,0.0
65,2,2,2,4,91.7,114.3,661.3,6.3,18.6,44.0,4.5,0.0
66,2,2,2,5,92.4,117.9,668.0,12.2,23.0,37.0,4.5,0.0
69,4,5,4,5,91.7,33.3,77.5,9.0,17.2,26.0,4.5,0.0
71,4,5,4,5,94.3,85.1,692.3,15.9,17.7,37.0,3.6,0.0
72,5,4,5,5,91.7,33.3,77.5,9.0,15.6,25.0,6.3,0.0
73,5,4,5,2,88.8,147.3,614.5,9.0,17.3,43.0,4.5,0.0
74,5,4,5,5,93.3,141.2,713.9,13.9,27.6,30.0,1.3,0.0
76,9,9,9,5,86.6,13.2,43.0,5.3,15.7,43.0,3.1,0.0
78,1,2,1,5,90.1,108.0,529.8,12.5,14.7,66.0,2.7,0.0
79,1,2,1,2,91.0,121.2,561.6,7.0,21.6,19.0,6.7,0.0
80,1,2,1,7,91.4,142.4,601.4,10.6,19.5,39.0,6.3,0.0
81,1,2,1,7,90.2,99.6,631.2,6.3,17.9,44.0,2.2,0.0
83,1,2,1,3,92.1,111.2,654.1,9.6,16.6,47.0,0.9,0.0
85,1,2,1,4,92.9,137.0,706.4,9.2,21.5,15.0,0.9,0.0
86,1,2,1,4,92.9,137.0,706.4,9.2,25.4,27.0,2.2,0.0
87,1,2,1,4,92.9,137.0,706.4,9.2,22.4,34.0,2.2,0.0
88,1,2,1,7,93.5,149.3,728.6,8.1,25.3,36.0,3.6,0.0
89,6,5,6,6,91.7,35.8,80.8,7.8,17.4,25.0,4.9,0.0
90,6,5,6,6,90.2,96.9,624.2,8.9,14.7,59.0,5.8,0.0
92,8,6,8,7,92.3,85.3,488.0,14.7,20.8,32.0,6.3,0.0
93,8,6,8,7,91.4,142.4,601.4,10.6,18.2,43.0,4.9,0.0
94,8,6,8,1,91.1,103.2,638.8,5.8,23.4,22.0,2.7,0.0
95,4,4,4,7,89.7,90.0,704.4,4.8,17.8,64.0,1.3,0.0
96,3,4,3,6,83.9,8.0,30.2,2.6,12.7,48.0,1.8,0.0
97,3,4,3,6,69.0,2.4,15.5,0.7,17.4,24.0,5.4,0.0
98,3,4,3,7,91.4,142.4,601.4,10.6,11.6,87.0,4.5,0.0
99,3,4,3,7,91.4,142.4,601.4,10.6,19.8,39.0,5.4,0.0
101,3,4,3,2,88.8,147.3,614.5,9.0,14.4,66.0,5.4,0.0
103,2,4,2,6,92.5,121.1,674.4,8.6,24.1,29.0,4.5,0.0
104,2,4,2,6,82.1,3.7,9.3,2.9,5.3,78.0,3.1,0.0
105,4,5,4,5,85.9,19.5,57.3,2.8,12.7,52.0,6.3,0.0
106,4,5,4,4,91.4,30.7,74.3,7.5,18.2,29.0,3.1,0.0
108,4,5,4,6,92.5,88.0,698.6,7.1,20.3,45.0,3.1,0.0
109,4,5,4,1,88.6,91.8,709.9,7.1,17.4,56.0,5.4,0.0
110,4,4,4,5,85.9,19.5,57.3,2.8,13.7,43.0,5.8,0.0
111,3,4,3,5,91.7,33.3,77.5,9.0,18.8,18.0,4.5,0.0
112,3,4,3,7,89.7,90.0,704.4,4.8,22.8,39.0,3.6,0.0
113,3,4,3,1,91.8,78.5,724.3,9.2,18.9,35.0,2.7,0.0
114,3,4,3,2,88.1,25.7,67.6,3.8,15.8,27.0,7.6,0.0
115,3,5,3,2,88.1,25.7,67.6,3.8,15.5,27.0,6.3,0.0
116,3,4,3,6,91.7,35.8,80.8,7.8,11.6,30.0,6.3,0.0
121,3,4,3,1,91.5,145.4,608.2,10.7,17.1,43.0,5.4,0.0
122,3,4,3,7,92.4,124.1,680.7,8.5,22.5,42.0,5.4,0.0
123,3,4,3,2,84.4,73.4,671.9,3.2,17.9,45.0,3.1,0.0
124,3,4,3,5,94.3,85.1,692.3,15.9,19.8,50.0,5.4,0.0
125,3,4,3,7,92.6,46.5,691.8,8.8,20.6,24.0,5.4,0.0
127,3,5,3,5,93.5,149.3,728.6,8.1,17.2,43.0,3.1,0.0
128,3,5,3,3,91.4,37.9,673.8,5.2,15.9,46.0,3.6,0.0
129,2,5,2,7,92.6,46.5,691.8,8.8,15.4,35.0,0.9,0.0
130,4,6,4,6,68.2,21.5,87.2,0.8,15.4,40.0,2.7,0.0
132,4,6,4,7,89.3,51.3,102.2,9.6,10.6,46.0,4.9,0.0
133,4,6,4,4,93.7,80.9,685.2,17.9,17.6,42.0,3.1,0.0
134,3,5,3,2,88.1,25.7,67.6,3.8,14.9,38.0,2.7,0.0
137,3,6,3,1,90.9,126.5,686.5,7.0,15.6,66.0,3.1,0.0
139,1,4,1,2,91.0,129.5,692.6,7.0,21.7,38.0,2.2,0.0
140,2,5,2,1,90.9,126.5,686.5,7.0,21.9,39.0,1.8,0.0
141,1,2,1,3,95.5,99.9,513.3,13.2,23.3,31.0,4.5,0.0
142,8,6,8,5,90.1,108.0,529.8,12.5,21.2,51.0,8.9,0.0
143,1,2,1,6,90.0,51.3,296.3,8.7,16.6,53.0,5.4,0.0
144,2,5,2,3,95.5,99.9,513.3,13.2,23.8,32.0,5.4,0.0
145,6,5,6,4,95.2,131.7,578.8,10.4,27.4,22.0,4.0,0.0
147,8,3,8,2,84.4,73.4,671.9,3.2,24.2,28.0,3.6,0.0
148,2,2,2,2,94.8,108.3,647.1,17.0,17.4,43.0,6.7,0.0
149,8,6,8,4,93.7,80.9,685.2,17.9,23.7,25.0,4.5,0.0
150,6,5,6,5,92.5,56.4,433.3,7.1,23.2,39.0,5.4,0.0
151,9,9,9,7,90.1,68.6,355.2,7.2,24.8,29.0,2.2,0.0
152,3,4,3,6,90.1,51.2,424.1,6.2,24.6,43.0,1.8,0.0
154,1,5,1,6,93.4,145.4,721.4,8.1,29.6,27.0,2.7,0.0
155,7,4,7,7,94.8,108.3,647.1,17.0,16.4,47.0,1.3,0.0
157,2,2,2,3,92.1,111.2,654.1,9.6,18.4,45.0,3.6,0.0
158,2,4,2,3,92.1,111.2,654.1,9.6,20.5,35.0,4.0,0.0
159,7,4,7,5,92.4,117.9,668.0,12.2,19.0,34.0,5.8,0.0
160,7,4,7,1,90.1,39.7,86.6,6.2,16.1,29.0,3.1,0.0
161,6,4,6,4,95.2,131.7,578.8,10.4,20.3,41.0,4.0,0.0
162,6,3,6,6,90.6,50.1,100.4,7.8,15.2,31.0,8.5,0.0
163,8,6,8,6,92.5,121.1,674.4,8.6,17.8,56.0,1.8,0.0
164,8,5,8,7,89.7,90.0,704.4,4.8,17.8,67.0,2.2,0.0
165,6,5,6,4,84.9,18.2,55.0,3.0,5.3,70.0,4.5,0.0
166,6,5,6,3,92.1,111.2,654.1,9.6,16.6,47.0,0.9,0.0
167,6,5,6,3,96.0,127.1,570.5,16.5,23.4,33.0,4.5,0.0
168,6,5,6,5,91.2,48.3,97.8,12.5,14.6,26.0,9.4,0.0
170,5,4,5,3,92.9,133.3,699.6,9.2,21.9,35.0,1.8,0.0
171,8,6,8,3,85.6,90.4,609.6,6.6,17.4,50.0,4.0,0.0
172,7,4,7,7,91.4,142.4,601.4,10.6,20.1,39.0,5.4,0.0
173,4,4,4,1,90.9,126.5,686.5,7.0,17.7,39.0,2.2,0.0
174,1,4,1,6,90.2,96.9,624.2,8.9,14.2,53.0,1.8,0.0
175,1,4,1,6,90.2,96.9,624.2,8.9,20.3,39.0,4.9,0.0
176,6,5,6,4,81.5,9.1,55.2,2.7,5.8,54.0,5.8,0.0
178,2,5,2,3,90.1,82.9,735.7,6.2,18.3,45.0,2.2,0.0
179,8,6,8,2,88.8,147.3,614.5,9.0,14.4,66.0,5.4,0.0
180,1,3,1,7,92.4,124.1,680.7,8.5,23.9,32.0,6.7,0.0
181,8,6,8,1,84.9,32.8,664.2,3.0,19.1,32.0,4.0,0.0
183,7,4,7,1,91.7,48.5,696.1,11.1,16.8,45.0,4.5,0.0
184,8,6,8,5,93.9,135.7,586.7,15.1,20.8,34.0,4.9,0.0
185,2,5,2,2,91.0,129.5,692.6,7.0,17.6,46.0,3.1,0.0
186,8,6,8,7,89.3,51.3,102.2,9.6,11.5,39.0,5.8,0.0
187,1,5,1,1,90.9,126.5,686.5,7.0,21.0,42.0,2.2,0.0
189,7,4,7,7,90.7,44.0,92.4,5.5,11.5,60.0,4.0,0.0
190,6,5,6,5,91.2,48.3,97.8,12.5,11.7,33.0,4.0,0.0
191,2,5,2,4,95.2,131.7,578.8,10.4,24.2,28.0,2.7,0.0
192,2,2,2,2,94.8,108.3,647.1,17.0,24.6,22.0,4.5,0.0
194,2,2,2,2,94.8,108.3,647.1,17.0,24.6,22.0,4.5,0.0
195,2,5,2,5,93.9,135.7,586.7,15.1,23.5,36.0,5.4,0.0
196,6,5,6,4,81.5,9.1,55.2,2.7,5.8,54.0,5.8,0.0
197,4,5,4,4,92.9,137.0,706.4,9.2,21.5,15.0,0.9,0.0
198,3,4,3,2,91.0,129.5,692.6,7.0,13.9,59.0,6.3,0.0
199,2,4,2,1,63.5,70.8,665.3,0.8,22.6,38.0,3.6,0.0
200,1,5,1,2,91.0,129.5,692.6,7.0,21.6,33.0,2.2,0.0
202,7,4,7,7,83.9,8.7,32.1,2.1,8.8,68.0,2.2,0.0
203,8,6,8,3,91.4,37.9,673.8,5.2,20.2,37.0,2.7,0.0
204,5,6,5,6,90.6,50.1,100.4,7.8,15.1,64.0,4.0,0.0
206,2,2,2,6,93.5,139.4,594.2,20.3,22.9,31.0,7.2,0.0
209,8,3,8,4,93.7,80.9,685.2,17.9,23.2,26.0,4.9,0.0
210,4,4,4,6,90.6,43.7,686.9,6.7,18.4,25.0,3.1,0.0
211,7,4,7,6,93.5,139.4,594.2,20.3,5.1,96.0,5.8,0.0
212,7,4,7,5,94.3,85.1,692.3,15.9,20.1,47.0,4.9,0.0
213,7,3,7,1,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0
214,4,4,4,6,91.7,35.8,80.8,7.8,17.0,27.0,4.9,0.0
215,4,4,4,6,91.7,35.8,80.8,7.8,17.0,27.0,4.9,0.0
216,4,4,4,7,92.4,124.1,680.7,8.5,16.9,60.0,1.3,0.0
217,1,3,1,1,88.6,91.8,709.9,7.1,12.4,73.0,6.3,0.0
218,4,5,4,3,92.9,133.3,699.6,9.2,19.4,19.0,1.3,0.0
220,8,6,8,7,90.2,99.6,631.2,6.3,16.2,59.0,3.1,0.0
222,4,3,4,1,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0
223,2,2,2,5,88.3,150.3,309.9,6.8,13.4,79.0,3.6,0.0
224,7,4,7,3,90.1,82.9,735.7,6.2,15.4,57.0,4.5,0.0
225,4,4,4,7,93.5,149.3,728.6,8.1,22.9,39.0,4.9,0.0
229,8,6,8,6,92.2,81.8,480.8,11.9,16.4,43.0,4.0,0.0
230,4,4,4,3,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0
231,1,5,1,7,93.5,149.3,728.6,8.1,27.8,27.0,3.1,0.0
232,6,4,6,2,91.0,129.5,692.6,7.0,18.7,43.0,2.7,0.0
233,9,4,9,2,84.4,73.4,671.9,3.2,24.3,36.0,3.1,0.0
234,4,5,4,6,92.5,121.1,674.4,8.6,17.7,25.0,3.1,0.0
237,1,2,1,2,91.0,129.5,692.6,7.0,18.8,40.0,2.2,0.0
239,7,5,7,7,81.9,3.0,7.9,3.5,13.4,75.0,1.8,0.0
241,4,4,4,5,83.0,23.3,85.3,2.3,16.7,20.0,3.1,0.0
242,2,4,2,7,94.2,122.3,589.9,12.9,15.4,66.0,4.0,0.0
243,7,4,7,7,91.8,175.1,700.7,13.8,21.9,73.0,7.6,1.0
244,2,4,2,7,91.8,175.1,700.7,13.8,22.4,54.0,7.6,0.0
245,3,4,3,7,91.8,175.1,700.7,13.8,26.8,38.0,6.3,0.0
246,5,4,5,7,91.8,175.1,700.7,13.8,25.7,39.0,5.4,0.0
248,8,6,8,3,93.1,157.3,666.7,13.5,28.7,28.0,2.7,0.0
249,3,4,3,3,93.1,157.3,666.7,13.5,21.7,40.0,0.4,0.0
250,8,5,8,3,93.1,157.3,666.7,13.5,26.8,25.0,3.1,0.0
252,6,5,6,3,93.1,157.3,666.7,13.5,22.1,37.0,3.6,0.0
253,7,4,7,4,91.9,109.2,565.5,8.0,21.4,38.0,2.7,0.0
254,6,3,6,4,91.6,138.1,621.7,6.3,18.9,41.0,3.1,0.0
255,2,5,2,4,87.5,77.0,694.8,5.0,22.3,46.0,4.0,0.0
256,8,6,8,6,94.2,117.2,581.1,11.0,23.9,41.0,2.2,0.0
258,3,4,3,6,91.8,170.9,692.3,13.7,20.6,59.0,0.9,0.0
259,7,4,7,6,91.8,170.9,692.3,13.7,23.7,40.0,1.8,0.0
260,2,4,2,1,93.6,97.9,542.0,14.4,28.3,32.0,4.0,0.0
261,3,4,3,5,91.6,112.4,573.0,8.9,11.2,84.0,7.6,0.0
